title,summary,url
넷플릭스가 한국 드라마에 대규모 투자를 발표했다,넷플릭스 관련 최신 뉴스입니다.,https://news.com/넷플릭스-1
"넷플릭스, 광고 기반 구독제 도입으로 수익 다각화",넷플릭스 관련 최신 뉴스입니다.,https://news.com/넷플릭스-2
"넷플릭스, 오리지널 영화 라인업 강화",넷플릭스 관련 최신 뉴스입니다.,https://news.com/넷플릭스-3
"넷플릭스, 모바일 최적화 UI 개편",넷플릭스 관련 최신 뉴스입니다.,https://news.com/넷플릭스-4
"넷플릭스, 시청자 맞춤형 추천 알고리즘 개선",넷플릭스 관련 최신 뉴스입니다.,https://news.com/넷플릭스-5
"AI 챗봇, 금융권 고객 응대에 도입",AI 관련 최신 뉴스입니다.,https://news.com/ai-1
"AI 윤리 가이드라인 발표, 기업 책임 강조",AI 관련 최신 뉴스입니다.,https://news.com/ai-2
"AI 스피커, 음성 인식 오류율 감소",AI 관련 최신 뉴스입니다.,https://news.com/ai-3
AI와 로봇의 융합 기술 발표,AI 관련 최신 뉴스입니다.,https://news.com/ai-4
"AI 번역기, 다국어 정확도 대폭 향상",AI 관련 최신 뉴스입니다.,https://news.com/ai-5
AI로 범죄 예측하는 시스템 논란,AI 관련 최신 뉴스입니다.,https://news.com/ai-6
"AI 교사, 초등학교 시범 도입",AI 관련 최신 뉴스입니다.,https://news.com/ai-7
AI 기반 의류 추천 서비스 출시,AI 관련 최신 뉴스입니다.,https://news.com/ai-8
"테슬라, 완전 자율주행 FSD 베타 공개",테슬라 관련 최신 뉴스입니다.,https://news.com/테슬라-1
"테슬라, 새로운 배터리 기술 발표",테슬라 관련 최신 뉴스입니다.,https://news.com/테슬라-2
"테슬라, 전기 트럭 '세미' 첫 양산 돌입",테슬라 관련 최신 뉴스입니다.,https://news.com/테슬라-3
"BTS, 미국 빌보드 차트 1위 달성",BTS 관련 최신 뉴스입니다.,https://news.com/bts-1
"BTS, UN에서 청년 메시지 전달",BTS 관련 최신 뉴스입니다.,https://news.com/bts-2
